ocamlfind ocamlc -g -package batteries -linkpkg -o perftest -I /Users/samer/src/okmij/caml-shift -dllpath /Users/samer/src/okmij/caml-shift delimcc.cma utils.cmo dist.cmo lazydata.cmo monads.cmo monadreps.cmo store.cmo prob.cmo inference3.cmo notes.cmo inference2.cmo inference1.cmo probimps.cmo perftest.ml
./perftest

----- Make(TM) -----

importance_sample 1 2000 main_medium 	---> evidence = 0.000212063 | Time: 0.906196 s
importance_sample' 1 2000 main_medium 	---> evidence = 0.000225 | Time: 0.852169 s
importance_sample'' 1 2000 main_medium 	---> evidence = 0.00015807 | Time: 0.812316 s
importance_sample 1 20000 main_large  	---> evidence = 4.6132e-07 | Time: 18.9137 s

----- MakeRef1 (TM) -----

exact_reify test_main             	---> Time: 0.113902 s
get_samples'' 10000 main_simple   	---> Time: 0.384005 s
get_samples' 10000 main_simple    	---> Time: 0.544738 s
get_samples 10000 main_simple     	---> Time: 0.545042 s
importance_sample 1 1000 main_simple 	---> evidence = 0.000390375 | Time: 0.31657 s
importance_sample 1 5000 main_simple 	---> evidence = 0.000603 | Time: 1.55826 s
importance_sample 1 10000 main_simple 	---> evidence = 0.000470756 | Time: 3.12621 s
importance_sample 2 1000 main_simple 	---> evidence = 0.00030166 | Time: 0.715409 s
importance_sample 1 2000 main_medium 	---> evidence = 0.000218257 | Time: 0.811782 s
importance_sample' 1 2000 main_medium 	---> evidence = 5.0625e-05 | Time: 0.749738 s
importance_sample'' 1 2000 main_medium 	---> evidence = 0.000145125 | Time: 0.712588 s
importance_sample 1 20000 main_large  	---> evidence = 0 | Time: 16.8279 s

----- MakeRef2 (TM) -----

exact_reify test_main             	---> Time: 0.125033 s
get_samples'' 10000 main_simple   	---> Time: 0.424763 s
get_samples' 10000 main_simple    	---> Time: 0.5892 s
get_samples 10000 main_simple     	---> Time: 0.595671 s
importance_sample 1 1000 main_simple 	---> evidence = 0.000604687 | Time: 0.340241 s
importance_sample 1 5000 main_simple 	---> evidence = 0.0005157 | Time: 1.70571 s
importance_sample 1 10000 main_simple 	---> evidence = 0.000408994 | Time: 3.41572 s
importance_sample 2 1000 main_simple 	---> evidence = 0.000440799 | Time: 0.781826 s
importance_sample 1 2000 main_medium 	---> evidence = 0.000226406 | Time: 0.880328 s
importance_sample' 1 2000 main_medium 	---> evidence = 0.000275625 | Time: 0.829389 s
importance_sample'' 1 2000 main_medium 	---> evidence = 6.01875e-05 | Time: 0.779217 s
importance_sample 1 20000 main_large  	---> evidence = 0 | Time: 18.3822 s
