./perftest

----- Make(TM) -----

importance_sample 1 20000 main_large  	---> evidence = 3.888e-07 | Time: 10.7012 s

----- MakeRef1 (TM) -----

exact_reify test_main             	---> Time: 0.080695 s
get_samples'' 10000 main_simple   	---> Time: 0.438836 s
get_samples' 10000 main_simple    	---> Time: 0.518343 s
get_samples 10000 main_simple     	---> Time: 0.517679 s
importance_sample 1 1000 main_simple 	---> evidence = 0.000729 | Time: 0.253105 s
importance_sample 1 5000 main_simple 	---> evidence = 0.000300443 | Time: 1.25221 s
importance_sample 1 10000 main_simple 	---> evidence = 0.000429058 | Time: 2.53581 s
importance_sample 2 1000 main_simple 	---> evidence = 0.000722164 | Time: 0.834827 s
importance_sample 1 2000 main_medium 	---> evidence = 7.96641e-05 | Time: 0.595869 s
importance_sample' 1 2000 main_medium 	---> evidence = 0.000159469 | Time: 0.557435 s
importance_sample'' 1 2000 main_medium 	---> evidence = 8.45156e-05 | Time: 0.540958 s
importance_sample 1 20000 main_large  	---> evidence = 2.916e-07 | Time: 9.85359 s

----- MakeRef2 (TM) -----

exact_reify test_main             	---> Time: 0.088261 s
get_samples'' 10000 main_simple   	---> Time: 0.406083 s
get_samples' 10000 main_simple    	---> Time: 0.556728 s
get_samples 10000 main_simple     	---> Time: 0.561121 s
importance_sample 1 1000 main_simple 	---> evidence = 0.000348525 | Time: 0.269146 s
importance_sample 1 5000 main_simple 	---> evidence = 0.000602595 | Time: 1.33815 s
importance_sample 1 10000 main_simple 	---> evidence = 0.000550536 | Time: 2.68252 s
importance_sample 2 1000 main_simple 	---> evidence = 0.000755139 | Time: 0.884693 s
importance_sample 1 2000 main_medium 	---> evidence = 0.0001296 | Time: 0.635047 s
importance_sample' 1 2000 main_medium 	---> evidence = 0.000199631 | Time: 0.614751 s
importance_sample'' 1 2000 main_medium 	---> evidence = 7.83e-05 | Time: 0.581808 s
importance_sample 1 20000 main_large  	---> evidence = 8.9424e-07 | Time: 10.3426 s
